Name,URL,YearStarted,YearEnded,Position,SquadHistory,IsActive
Matthias Fanimo,https://fbref.com/en/players/90798816/Matthias-Fanimo,2014,2024,MF,"Slaven Belupo, Ebbsfleet United, Eastleigh",No
Jordan Fankwe,https://fbref.com/en/players/aa1931f8/Jordan-Fankwe,2023,2024,MF,,No
Leighton Fanshawe,https://fbref.com/en/players/3b4b30cb/Leighton-Fanshawe,2020,2021,GK,,No
Adebayo Fapetu,https://fbref.com/en/players/85e74929/Adebayo-Fapetu,2021,2024,MF,Derby County U21,Yes
Oluwafemi Fapetu,https://fbref.com/en/players/b229aca3/Oluwafemi-Fapetu,2023,2026,MF,Manchester City U21,Yes
Karen Farley,https://fbref.com/en/players/600d70f2/Karen-Farley,1995,,FW,England,No
Paul Farman,https://fbref.com/en/players/69625393/Paul-Farman,2009,2026,GK,"Lincoln City, Swansea City, Barrow, Stevenage, Gateshead, Carlisle United",Yes
Owen Farmer,https://fbref.com/en/players/dbc6ada5/Owen-Farmer,2021,2025,MF,Wolverhampton Wanderers U21,Yes
Nick Farquharson,https://fbref.com/en/players/baae5705/Nick-Farquharson,2007,2008,FW,Northwich Victoria,No
Priestley Farquharson,https://fbref.com/en/players/b247044e/Priestley-Farquharson,2020,2026,DF,"Walsall, Newport County",Yes
Charlie Farr,https://fbref.com/en/players/86c47977/Charlie-Farr,2020,2021,MF,Aston Villa U23,No
Adam Farrell,https://fbref.com/en/players/d1c65bdc/Adam-Farrell,2014,2016,FW,Telford United,No
Craig Farrell,https://fbref.com/en/players/723e9329/Craig-Farrell,2002,2012,FW,"York City, Rushden & Diamonds, Carlisle United, Telford United, Oxford United",No
Dan Farrell,https://fbref.com/en/players/3f3b18f2/Dan-Farrell,2015,2017,GK,,No
Dan Farrell,https://fbref.com/en/players/b7d314a5/Dan-Farrell,2017,2018,GK,,No
David Farrell,https://fbref.com/en/players/e4019381/David-Farrell,1992,2008,MF,"Peterborough United, Boston United, Burton Albion, Aston Villa",No
Leo Farrell,https://fbref.com/en/players/c3fe6b52/Leo-Farrell,2024,2026,FW,Barnsley,Yes
Mark Farrington,https://fbref.com/en/players/9cf8ed7d/Mark-Farrington,1990,1991,FW,"Brighton & Hove Albion, Hertha BSC",No
Millie Farrow,https://fbref.com/en/players/1f35609f/Millie-Farrow,2017,2025,FW,"Perth Glory, Reading, Sydney FC, Bristol City, North Carolina Courage",Yes
Craig Fasanmade,https://fbref.com/en/players/a7a34ab2/Craig-Fasanmade,2018,2023,DF,Wealdstone FC,No
John Fashanu,https://fbref.com/en/players/e9430452/John-Fashanu,1992,1995,FW,"Wimbledon, Aston Villa",No
Justin Fashanu,https://fbref.com/en/players/25c73340/Justin-Fashanu,1993,1994,FW,,No
Jacob Fasida,https://fbref.com/en/players/aefd23bb/Jacob-Fasida,2025,2026,DF,Crystal Palace U21,Yes
Craig Faulconbridge,https://fbref.com/en/players/59af4810/Craig-Faulconbridge,2002,2005,"DF,FW","Wycombe Wanderers, Hull City",No
Bobby Faulkner,https://fbref.com/en/players/c94699d0/Bobby-Faulkner,2021,2026,DF,"Harrogate Town FC, Doncaster Rovers, Dundalk FC",Yes
Mikey Faulkner,https://fbref.com/en/players/8e7ecd1f/Mikey-Faulkner,2024,2025,MF,,No
Mason Fawns,https://fbref.com/en/players/afa89cde/Mason-Fawns,2017,2018,MF,Oldham Athletic,No
Favour Fawunmi,https://fbref.com/en/players/700639ef/Favour-Fawunmi,2022,2026,MF,"Stoke City U21, Stoke City, West Ham United U21",Yes
Luke Faxon,https://fbref.com/en/players/9c72ae88/Luke-Faxon,2024,2025,GK,,Yes
Louis Fazakerley,https://fbref.com/en/players/156cfa18/Louis-Fazakerley,2016,2019,MF,,No
Peter Fear,https://fbref.com/en/players/584ebbeb/Peter-Fear,1992,1999,MF,Wimbledon,No
CJ Fearn,https://fbref.com/en/players/982b8b9b/CJ-Fearn,2022,2023,DF,,No
Preston Fearon,https://fbref.com/en/players/b5cddc6d/Preston-Fearon,2024,2026,MF,West Ham United U21,Yes
Lee Featherstone,https://fbref.com/en/players/e51f3851/Lee-Featherstone,2002,2005,MF,Scunthorpe United,No
Nicky Featherstone,https://fbref.com/en/players/6db8d67b/Nicky-Featherstone,2006,2026,"DF,FW","Hartlepool United, Hereford United, Walsall, Hull City, Grimsby Town",Yes
James Febery,https://fbref.com/en/players/bccf0b3c/James-Febery,2016,2017,DF,,No
Jerome Federico,https://fbref.com/en/players/f266e28c/Jerome-Federico,2010,2012,MF,,No
Josh Feeney,https://fbref.com/en/players/185321d3/Josh-Feeney,2020,2026,DF,"Huddersfield Town, Shrewsbury Town, Aston Villa U21, Aston Villa U23",Yes
Liam Feeney,https://fbref.com/en/players/ff4d77df/Liam-Feeney,2007,2023,"FW,MF","Bournemouth, Bolton Wanderers, Blackpool, Millwall, Salisbury City, Tranmere Rovers, Blackburn Rover",No
Morgan Feeney,https://fbref.com/en/players/7abbf224/Morgan-Feeney,2016,2026,DF,"Carlisle United, Shrewsbury Town, Everton U23",Yes
Erivaldo Felix,https://fbref.com/en/players/c08b28fa/Erivaldo-Felix,2015,2016,MF,,No
Joe Felix,https://fbref.com/en/players/67c1f87a/Joe-Felix,2017,2026,"DF,MF","York City, Torquay United",Yes
Kaine Felix,https://fbref.com/en/players/e9991e3c/Kaine-Felix,2018,2019,MF,,No
Tom Fellows,https://fbref.com/en/players/2fa188f2/Tom-Fellows,2020,2026,"FW,MF","West Bromwich Albion, Southampton, Crawley Town, West Bromwich Albion U23, West Bromwich Albion U21",Yes
Jim Fenlon,https://fbref.com/en/players/724e6fdc/Jim-Fenlon,2012,2015,DF,"AFC Wimbledon, Ross County",No
Rhys Fenlon,https://fbref.com/en/players/74d7c150/Rhys-Fenlon,2020,2021,MF,,No
Lewis Fensome,https://fbref.com/en/players/d6a91bf8/Lewis-Fensome,2025,2026,DF,Macclesfield FC,Yes
George Fenton,https://fbref.com/en/players/13831733/George-Fenton,2015,2016,DF,,No
Graham Fenton,https://fbref.com/en/players/d2fd5e70/Graham-Fenton,1993,2003,MF,"Leicester City, Aston Villa, Blackburn Rovers, St Mirren, Blackpool, West Bromwich Albion, Darlingto",No
Miles Fenton,https://fbref.com/en/players/ec7590ed/Miles-Fenton,2022,,MF,Greenville Triumph,Yes
Nick Fenton,https://fbref.com/en/players/b8108aea/Nick-Fenton,2002,2014,DF,"Rotherham United, Notts County, Grimsby Town, Morecambe, Doncaster Rovers, Alfreton Town, Manchester",No
Bayan Fenwick,https://fbref.com/en/players/f40ffb00/Bayan-Fenwick,2015,2016,FW,Torquay United,No
Johnny Fenwick,https://fbref.com/en/players/b3a1306b/Johnny-Fenwick,2019,2025,DF,"Asheville City SC, FC Tulsa, Northern Colorado Hailstorm, Las Vegas Lights FC, Sacramento Republic,",Yes
Scott Fenwick,https://fbref.com/en/players/6398390f/Scott-Fenwick,2014,2020,FW,"Hartlepool United, York City, Cork City, Tranmere Rovers",No
Terry Fenwick,https://fbref.com/en/players/437743fd/Terry-Fenwick,1986,1994,DF,"Swindon Town, Tottenham Hotspur, England",No
Anton Ferdinand,https://fbref.com/en/players/d1891093/Anton-Ferdinand,2003,2019,DF,"West Ham United, Sunderland, Southend United, Queens Park Rangers, Reading, St Mirren, Bursaspor, An",No
Les Ferdinand,https://fbref.com/en/players/aad47f5a/Les-Ferdinand,1992,2005,FW,"Tottenham Hotspur, Queens Park Rangers, Newcastle United, Leicester City, West Ham United, Reading,",No
Lorenz Ferdinand,https://fbref.com/en/players/e7086982/Lorenz-Ferdinand,2023,2026,GK,Brighton & Hove Albion U21,Yes
Rio Ferdinand,https://fbref.com/en/players/52465662/Rio-Ferdinand,1995,2015,DF,"Manchester United, West Ham United, Leeds United, England, Queens Park Rangers, Bournemouth",No
Sebastian Ferdinand,https://fbref.com/en/players/0e2f74b5/Sebastian-Ferdinand,2023,2026,FW,Arsenal U21,Yes
Cameron Ferguson,https://fbref.com/en/players/edec4881/Cameron-Ferguson,2021,2024,FW,"Newcastle United U23, Newcastle United U21",Yes
Chelsea Ferguson,https://fbref.com/en/players/3f0c45c7/Chelsea-Ferguson,2022,2023,FW,,No
Connor Ferguson,https://fbref.com/en/players/f001448a/Connor-Ferguson,2021,2025,DF,Leeds United U21,Yes
David Ferguson,https://fbref.com/en/players/821bcc32/David-Ferguson,2011,2026,"DF,MF","Hartlepool United, Gateshead, Blackpool, Darlington",Yes
Joseph Ferguson,https://fbref.com/en/players/356df6fd/Joseph-Ferguson,2020,2024,MF,Blackburn Rovers U23,No
Keenan Ferguson,https://fbref.com/en/players/03e7c626/Keenan-Ferguson,2020,2021,DF,,No
Lewis Ferguson,https://fbref.com/en/players/f1bdf1a4/Lewis-Ferguson,2014,2015,MF,,No
Nathan Ferguson,https://fbref.com/en/players/2f8d27bc/Nathan-Ferguson,2017,2026,DF,"Reading FC U21, West Bromwich Albion U23, West Bromwich Albion, Crystal Palace U21",Yes
Olivia Fergusson,https://fbref.com/en/players/3ce79f86/Olivia-Fergusson,2017,2026,FW,"Espanyol, Wellington Phoenix, Yeovil Town, Bristol City",Yes
Michael Fernandes,https://fbref.com/en/players/9c7d0260/Michael-Fernandes,2019,2023,FW,,No
Emmanuel Fernandez,https://fbref.com/en/players/19f7d95c/Emmanuel-Fernandez,2021,2026,DF,"Rangers, Peterborough United, Barnet",Yes
Luis Fernandez,https://fbref.com/en/players/06b30347/Luis-Fernandez,2019,2026,DF,"Eastleigh, King's Lynn Town FC, Stevenage",Yes
Matheos Ferreira,https://fbref.com/en/players/7737a4c5/Matheos-Ferreira,2024,2025,FW,Newcastle United U21,Yes
Rafael Ferreira,https://fbref.com/en/players/fb1c4c9f/Rafael-Ferreira,2020,2022,FW,Everton U23,No
Andy Ferrell,https://fbref.com/en/players/f8b69ecb/Andy-Ferrell,2006,2012,MF,"Kidderminster Harriers, Gateshead, York City, Barrow, Hereford United",No
Lewis Ferrell,https://fbref.com/en/players/9bd13eec/Lewis-Ferrell,2018,2019,DF,,No
Calum Ferrie,https://fbref.com/en/players/c9078e02/Calum-Ferrie,2017,2018,GK,,No
James Ferry,https://fbref.com/en/players/15caf25c/James-Ferry,2015,2021,MF,"Stevenage, FC Halifax Town, Welling United",No
Jayden Fevrier,https://fbref.com/en/players/7d2cd344/Jayden-Fevrier,2018,2026,MF,"Stockport County, Colchester United, West Ham United U23",Yes
Billy Fewster,https://fbref.com/en/players/07381c64/Billy-Fewster,2021,2025,MF,"Nottingham Forest U23, Nottingham Forest U21, Alfreton Town",No
Bradley Fewster,https://fbref.com/en/players/fba99bab/Bradley-Fewster,2014,2024,FW,"York City, Hartlepool United",No
A. Fiddes,https://fbref.com/en/players/6ac6926c/A-Fiddes,2016,2017,MF,,No
Alec Fiddes,https://fbref.com/en/players/4ee34d11/Alec-Fiddes,2014,2017,MF,,No
Max Fiddes,https://fbref.com/en/players/7fc404db/Max-Fiddes,2023,2024,FW,,No
Lewis Field,https://fbref.com/en/players/7ccd49af/Lewis-Field,2014,2015,DF,,No
Sam Field,https://fbref.com/en/players/bd8a7d05/Sam-Field,2015,2026,MF,"Queens Park Rangers, West Bromwich Albion, Charlton Athletic, West Bromwich Albion U23",Yes
Tom Field,https://fbref.com/en/players/0503e4fa/Tom-Field,2015,2025,DF,"Cavalry FC, Brentford, Bradford City, Cheltenham Town",Yes
Frank Fielding,https://fbref.com/en/players/4999f2fa/Frank-Fielding,2007,2026,GK,"Stoke City, Bristol City, Derby County, Rochdale, Wycombe Wanderers, Northampton Town, Millwall",Yes
Jamie Fielding,https://fbref.com/en/players/6298854b/Jamie-Fielding,2019,2025,DF,Stevenage,No
Reece Fielding,https://fbref.com/en/players/c964d9a7/Reece-Fielding,2016,2018,DF,,No
Sam Fielding,https://fbref.com/en/players/b85b8131/Sam-Fielding,2020,2022,MF,,No
Henry Fieldson,https://fbref.com/en/players/f4e4f11e/Henry-Fieldson,2021,2026,DF,"Queen's Park FC, Sunderland U21, Sunderland U23",Yes
Lee Fieldwick,https://fbref.com/en/players/17d34aac/Lee-Fieldwick,2002,2004,DF,"Brentford, Swansea City",No
Walter Figueira,https://fbref.com/en/players/fca95fd8/Walter-Figueira,2014,2021,FW,"Sligo Rovers, Derry City, Platanias, Waterford United",No
João Filipe,https://fbref.com/en/players/ad542b13/Joao-Filipe,2019,2024,DF,,No
Melisa Filis,https://fbref.com/en/players/a07a7a88/Melisa-Filis,2018,2026,MF,"Sassuolo, West Ham United",Yes
Jack Finch,https://fbref.com/en/players/e2199e72/Jack-Finch,2014,2021,MF,Coventry City,No
Sonny Finch,https://fbref.com/en/players/3e04dfad/Sonny-Finch,2021,2026,FW,"Middlesbrough U21, Middlesbrough, Middlesbrough U23, Milton Keynes Dons",Yes
Tom Finch,https://fbref.com/en/players/e91b182f/Tom-Finch,2024,2026,GK,Milton Keynes Dons,Yes
Sam Finley,https://fbref.com/en/players/f2d69174/Sam-Finley,2015,2026,MF,"Tranmere Rovers, Bristol Rovers, Accrington Stanley, Fleetwood Town, Fylde",Yes
Kyle Finn,https://fbref.com/en/players/3c095fd3/Kyle-Finn,2017,2025,MF,Tamworth,Yes
Neil Finn,https://fbref.com/en/players/4fda3659/Neil-Finn,1995,1996,GK,,No
Alex Finney,https://fbref.com/en/players/d30b7bb3/Alex-Finney,2015,2021,"DF,MF","Maidstone United, Aldershot Town, Bolton Wanderers",No
Charlie Finney,https://fbref.com/en/players/2b9015ba/Charlie-Finney,2022,2026,MF,Crewe Alexandra,Yes
Oliver Finney,https://fbref.com/en/players/59c83e71/Oliver-Finney,2015,2024,MF,"Crewe Alexandra, Hartlepool United",No
Tom Finney,https://fbref.com/en/players/457f5a21/Tom-Finney,1950,1958,"FW,MF",England,No
Carl Finnigan,https://fbref.com/en/players/1963ac85/Carl-Finnigan,2006,2015,FW,"Falkirk, Gateshead, Dundee, St Johnstone",No
John Finnigan,https://fbref.com/en/players/024fb882/John-Finnigan,2002,2010,MF,"Cheltenham Town, Kidderminster Harriers",No
Megan Finnigan,https://fbref.com/en/players/7de2938e/Megan-Finnigan,2017,2025,DF,Everton,Yes
Ryan Finnigan,https://fbref.com/en/players/9610c9c1/Ryan-Finnigan,2020,2026,MF,"Blackpool, Walsall, Crewe Alexandra, Southampton U23, Southampton U21",Yes
Andrew Firth,https://fbref.com/en/players/74665b8b/Andrew-Firth,2016,2022,GK,Barrow,No
Declan Firth,https://fbref.com/en/players/8e8694e0/Declan-Firth,2020,2026,DF,"Peterborough United, Aston Villa U21, Aston Villa U23, Chelsea U23",Yes
Harrison Firth,https://fbref.com/en/players/0d9459c3/Harrison-Firth,2024,2025,GK,,Yes
Dominic Fischer-Johnson,https://fbref.com/en/players/24b0e5e2/Dominic-Fischer-Johnson,2025,2026,FW,Truro City FC,Yes
Matt Fish,https://fbref.com/en/players/82242d59/Matt-Fish,2011,2015,DF,"Gillingham, Portsmouth",No
Sonny Fish,https://fbref.com/en/players/bf3809ba/Sonny-Fish,2021,2025,FW,Crawley Town,Yes
Will Fish,https://fbref.com/en/players/b2ee9d2c/Will-Fish,2019,2026,DF,"Cardiff City, Hibernian, Manchester United U23",Yes
Sam Fishburn,https://fbref.com/en/players/b1565b9f/Sam-Fishburn,2020,2024,FW,"Carlisle United, York City",No
Alex Fisher,https://fbref.com/en/players/58686521/Alex-Fisher,2007,2024,FW,"Yeovil Town, Exeter City, Newport County, Inverness CT, Torquay United, Mansfield Town, Oxford Unite",No
Andy Fisher,https://fbref.com/en/players/d0254cd8/Andy-Fisher,2016,2026,GK,"Swansea City, Milton Keynes Dons, Blackburn Rovers U23, St Johnstone",Yes
Cody Fisher,https://fbref.com/en/players/c33eaffe/Cody-Fisher,2019,2020,DF,,No
Darnell Fisher,https://fbref.com/en/players/bf8e356c/Darnell-Fisher,2013,2023,DF,"Preston North End, Rotherham United, St Johnstone, Celtic, Middlesbrough",No
David Fisher,https://fbref.com/en/players/13c41270/David-Fisher,2022,2023,FW,AFC Wimbledon,Yes
Hugo Fisher,https://fbref.com/en/players/56350399/Hugo-Fisher,2021,2026,GK,"Southampton U21, Brighton & Hove Albion U21",Yes
Kellen Fisher,https://fbref.com/en/players/7dc1de91/Kellen-Fisher,2022,2026,DF,"Norwich City, Bromley, Norwich City U21",Yes
Max Fisher,https://fbref.com/en/players/ea317d0e/Max-Fisher,2022,2023,MF,,No
Nathan Fisher,https://fbref.com/en/players/3665d38c/Nathan-Fisher,2007,2013,FW,Gateshead,No
Nathan Fisher,https://fbref.com/en/players/78e531f3/Nathan-Fisher,2021,2025,GK,Middlesbrough U21,Yes
Tom Fisher,https://fbref.com/en/players/29336c5a/Tom-Fisher,2008,2012,"FW,MF",Stockport County,No
Shameeka Fishley,https://fbref.com/en/players/64a6b1f1/Shameeka-Fishley,2018,2024,FW,"Bordeaux, Sassuolo",No
Grace Fisk,https://fbref.com/en/players/3978f8a9/Grace-Fisk,2019,2026,DF,"Liverpool, West Ham United",Yes
Harry Fisk,https://fbref.com/en/players/c7ebb989/Harry-Fisk,2023,,GK,,No
Alfie Fisken,https://fbref.com/en/players/98168353/Alfie-Fisken,2024,2026,MF,Leicester City U21,Yes
Dan Fitchett,https://fbref.com/en/players/a6d209c1/Dan-Fitchett,2014,2017,FW,Sutton United,No
Jayce Fitzgerald,https://fbref.com/en/players/462c5660/Jayce-Fitzgerald,2023,2026,MF,Manchester United U21,Yes
Scott Fitzgerald,https://fbref.com/en/players/f972666e/Scott-Fitzgerald,2002,2010,FW,"Watford, Hayes & Yeading United, Brentford, Walsall, Swansea City, Oxford United",No
Ethan Fitzhugh,https://fbref.com/en/players/4acd2ebd/Ethan-Fitzhugh,2020,2026,MF,"Gateshead, Leicester City U23, Leicester City U21",Yes
David Fitzpatrick,https://fbref.com/en/players/529c1047/David-Fitzpatrick,2014,2018,MF,"AFC Wimbledon, Torquay United, Barrow",No
David Fitzpatrick,https://fbref.com/en/players/6c085c9d/David-Fitzpatrick,2014,2022,"DF,MF","Macclesfield Town, Port Vale, Altrincham, Southport",No
Joe Fitzpatrick,https://fbref.com/en/players/85fdd859/Joe-Fitzpatrick,2014,2016,MF,Mansfield Town,No
Jordan Fitzpatrick,https://fbref.com/en/players/38b32c92/Jordan-Fitzpatrick,2006,2007,MF,,No
Ross Fitzsimons,https://fbref.com/en/players/fd3a5999/Ross-Fitzsimons,2014,2026,GK,"Northampton Town, Notts County, Weymouth, Chesterfield",Yes
Jack Fitzwater,https://fbref.com/en/players/eb2be717/Jack-Fitzwater,2015,2026,DF,"Exeter City, Livingston, Walsall, Forest Green Rovers, West Bromwich Albion U23",Yes
Jack Fixter,https://fbref.com/en/players/8fb55028/Jack-Fixter,2016,2017,DF,,No
Steve Flack,https://fbref.com/en/players/3f153498/Steve-Flack,2002,2003,FW,"Exeter City, Cardiff City",No
Darryl Flahavan,https://fbref.com/en/players/e16f8080/Darryl-Flahavan,2002,2016,GK,"Southend United, Bournemouth, Oldham Athletic, Crawley Town",No
Gilly Flaherty,https://fbref.com/en/players/c7cbc20d/Gilly-Flaherty,2016,2023,DF,"West Ham United, Chelsea, Liverpool, England",No
Jon Flanagan,https://fbref.com/en/players/f2428fd4/Jon-Flanagan,2010,2020,DF,"Liverpool, Rangers, Burnley, Bolton Wanderers, Liverpool U23",No
Josh Flanagan,https://fbref.com/en/players/f013db21/Josh-Flanagan,2020,2021,,,No
Reece Flanagan,https://fbref.com/en/players/86279547/Reece-Flanagan,2014,2018,MF,Walsall,No
Keira Flannery,https://fbref.com/en/players/96f6dfcf/Keira-Flannery,2022,2024,MF,West Ham United,No
Jake Flannigan,https://fbref.com/en/players/39b656de/Jake-Flannigan,2014,2019,MF,,No
Jonathan Flatt,https://fbref.com/en/players/372ef237/Jonathan-Flatt,2014,2019,GK,"Barrow, Cheltenham Town, Wrexham, Wolverhampton Wanderers U23",No
Harry Flatters,https://fbref.com/en/players/7d410dfb/Harry-Flatters,2018,2020,GK,Middlesbrough U23,No
Mark Flatts,https://fbref.com/en/players/3478d720/Mark-Flatts,1992,1995,MF,"Arsenal, Brighton & Hove Albion",No
Kieran Flavell,https://fbref.com/en/players/e02b1d30/Kieran-Flavell,2021,2026,GK,Barnsley,Yes
Reece Fleet,https://fbref.com/en/players/d2431b47/Reece-Fleet,2017,2024,MF,Oxford City FC,No
Andrew Fleming,https://fbref.com/en/players/b597f4f5/Andrew-Fleming,2006,2019,MF,"Morecambe, Wrexham",No
Brandon Fleming,https://fbref.com/en/players/3708655f/Brandon-Fleming,2017,2025,"DF,MF","Derry City, Hull City, Doncaster Rovers, Oxford United, Forest Green Rovers, Bolton Wanderers, Shrew",Yes
Charlotte Fleming,https://fbref.com/en/players/2673ebcf/Charlotte-Fleming,2019,2021,MF,,No
Craig Fleming,https://fbref.com/en/players/14cfdd19/Craig-Fleming,1992,2007,DF,"Norwich City, Oldham Athletic, Rotherham United",No
Terry Fleming,https://fbref.com/en/players/1a789078/Terry-Fleming,1992,2005,MF,"Cambridge United, Grimsby Town, Coventry City",No
Alex Fletcher,https://fbref.com/en/players/840c239f/Alex-Fletcher,2016,2020,FW,"Plymouth Argyle, Aldershot Town, Torquay United",No
Alex Fletcher,https://fbref.com/en/players/a7d6a1d2/Alex-Fletcher,2024,2026,MF,"Telford United, Tamworth",Yes
Ashley Fletcher,https://fbref.com/en/players/eeb6551f/Ashley-Fletcher,2015,2026,FW,"Blackpool, Middlesbrough, Wigan Athletic, Sheffield Wednesday, Barnsley, West Ham United, Sunderland",Yes
Chris Fletcher,https://fbref.com/en/players/f545f851/Chris-Fletcher,2014,2015,GK,,No
Danny Fletcher,https://fbref.com/en/players/c373978d/Danny-Fletcher,2014,2015,FW,,No
Ellie Fletcher,https://fbref.com/en/players/1034a58f/Ellie-Fletcher,2017,2018,MF,,No
Isaac Fletcher,https://fbref.com/en/players/b21f90b0/Isaac-Fletcher,2018,2026,MF,"Barrow, Middlesbrough U23, Hartlepool United, Middlesbrough U21, Scunthorpe United",Yes
Jack Fletcher,https://fbref.com/en/players/38a6c944/Jack-Fletcher,2024,2026,MF,"Manchester United U21, Manchester United",Yes
Jacob Fletcher,https://fbref.com/en/players/2ceb7721/Jacob-Fletcher,2017,2018,MF,,No
Jo Fletcher,https://fbref.com/en/players/a0728132/Jo-Fletcher,2005,,GK,,No
Julie Fletcher,https://fbref.com/en/players/d42a8eab/Julie-Fletcher,1995,2001,DF,,No
Luca Fletcher,https://fbref.com/en/players/57634872/Luca-Fletcher,2025,2026,FW,Ipswich Town U21,Yes
Serena Fletcher,https://fbref.com/en/players/f289e326/Serena-Fletcher,2017,,DF,,No
Steve Fletcher,https://fbref.com/en/players/a5efd8a7/Steve-Fletcher,2002,2013,FW,"Bournemouth, Chesterfield, Crawley Town, Plymouth Argyle",No
Tommy Fletcher,https://fbref.com/en/players/eb70b733/Tommy-Fletcher,2014,2016,DF,,No
Wes Fletcher,https://fbref.com/en/players/ea98bdfe/Wes-Fletcher,2009,2016,FW,"York City, Motherwell, Accrington Stanley, Stockport County, Crewe Alexandra, Grimsby Town",No
Alex Flett,https://fbref.com/en/players/f82941df/Alex-Flett,2010,2011,MF,,No
Scott Flinders,https://fbref.com/en/players/db1aa85c/Scott-Flinders,2004,2025,GK,"Hartlepool United, Cheltenham Town, York City, Macclesfield Town, Barnsley, Brighton & Hove Albion,",Yes
Aden Flint,https://fbref.com/en/players/952672e1/Aden-Flint,2010,2026,DF,"Bristol City, Walsall, Cardiff City, Mansfield Town, Swindon Town, Middlesbrough, Sheffield Wednesda",Yes
Josh Flint,https://fbref.com/en/players/e26a9a17/Josh-Flint,2020,2026,DF,"Crawley Town, Volendam",Yes
Natasha Flint,https://fbref.com/en/players/02fd09ad/Natasha-Flint,2021,2024,FW,"Leicester City, Liverpool",No
Will Flint,https://fbref.com/en/players/2ab84455/Will-Flint,2022,2026,DF,Gateshead,Yes
Alex Flisher,https://fbref.com/en/players/98be4041/Alex-Flisher,2014,2017,MF,Maidstone United,No
David Flitcroft,https://fbref.com/en/players/6ab4fe04/David-Flitcroft,2002,2009,MF,"Bury, Rochdale, Macclesfield Town",No
Garry Flitcroft,https://fbref.com/en/players/dc6356ad/Garry-Flitcroft,1992,2006,MF,"Blackburn Rovers, Manchester City, Sheffield United",No
Ross Flitney,https://fbref.com/en/players/15817cc2/Ross-Flitney,2003,2023,GK,"Eastleigh, Barnet, Grays Athletic, Gillingham, Bromley, Brighton & Hove Albion",No
Chris Flood,https://fbref.com/en/players/deb7f8cd/Chris-Flood,2014,2019,MF,"Slough Town FC, Basingstoke Town FC",No
Dylan Florence,https://fbref.com/en/players/33d4330d/Dylan-Florence,2018,2019,DF,,No
Jordan Flores,https://fbref.com/en/players/469be117/Jordan-Flores,2014,2025,"DF,MF","Bohemian FC, Blackpool, Dundalk FC, Chesterfield, Northampton Town, Wigan Athletic, Hull City",Yes
Louis Flower,https://fbref.com/en/players/bf5732ee/Louis-Flower,2023,2026,FW,"Crawley Town, Brighton & Hove Albion U21, Gateshead",Yes
Harry Flowers,https://fbref.com/en/players/cd0f6a21/Harry-Flowers,2018,2021,DF,Solihull Moors,No
Ron Flowers,https://fbref.com/en/players/b8b42914/Ron-Flowers,1962,1966,MF,England,No
Tim Flowers,https://fbref.com/en/players/df3b6e40/Tim-Flowers,1992,2003,GK,"Blackburn Rovers, Leicester City, Southampton, Coventry City, Stockport County",No
Lee Flynn,https://fbref.com/en/players/14b28ef5/Lee-Flynn,2006,2007,DF,St Albans City,No
Mike Flynn,https://fbref.com/en/players/04e89aae/Mike-Flynn,2001,2003,DF,"Stockport County, Blackpool, Barnsley, Stoke City",No
Sean Flynn,https://fbref.com/en/players/256609db/Sean-Flynn,1992,2004,MF,"West Bromwich Albion, Coventry City, Derby County, Kidderminster Harriers, Stoke City",No
Thomas Flynn,https://fbref.com/en/players/76af6baa/Thomas-Flynn,2012,2015,GK,"Cowdenbeath, Alfreton Town",No
Akwasi Fobi-Edusei,https://fbref.com/en/players/6ca36ba7/Akwasi-Fobi-Edusei,2002,2006,DF,Gillingham,No
Mark Foden,https://fbref.com/en/players/675b4f12/Mark-Foden,2015,2019,GK,,No
Phil Foden,https://fbref.com/en/players/ed1e53f3/Phil-Foden,2016,2026,"FW,MF","Manchester City, England, Manchester City U23",Yes
Wes Foderingham,https://fbref.com/en/players/96cf7b61/Wes-Foderingham,2010,2025,GK,"Swindon Town, Rangers, Sheffield United, Histon",Yes
Wes Fogden,https://fbref.com/en/players/06f48df1/Wes-Fogden,2007,2019,MF,"Bournemouth, Portsmouth, Havant & Water, Yeovil Town, Brighton & Hove Albion",No
Thomas Fogg,https://fbref.com/en/players/18a937b5/Thomas-Fogg,2014,2015,DF,,No
David Foley,https://fbref.com/en/players/42007aa1/David-Foley,2003,2013,FW,"Hartlepool United, Puerto Rico Islanders, Fort Lauderdale Strikers, Barrow",No
Michael Folivi,https://fbref.com/en/players/a7b41270/Michael-Folivi,2016,2021,FW,"Colchester United, AFC Wimbledon, Boreham Wood",No
James Folkes,https://fbref.com/en/players/fcda4147/James-Folkes,2020,2021,MF,,No
Omar Folkes,https://fbref.com/en/players/383cf3a6/Omar-Folkes,2016,2017,FW,,No
Emma Follis,https://fbref.com/en/players/e5239596/Emma-Follis,2017,2021,"FW,MF","Birmingham City, Aston Villa",No
Ash Fongho,https://fbref.com/en/players/704d2858/Ash-Fongho,2015,2016,,,No
Wesley Fonguck,https://fbref.com/en/players/44a6728b/Wesley-Fonguck,2015,2025,"DF,MF","Monterey Bay, Barnet, Southend United, Ebbsfleet United",Yes
Liam Fontaine,https://fbref.com/en/players/51a44732/Liam-Fontaine,2004,2022,DF,"Bristol City, Hibernian, Ross County, Dundee, Yeovil Town, Kilmarnock",No
